ds,y
1929-01-01,68.85
1929-01-02,66.30
1929-01-03,62.90
1929-01-04,80.75
1929-01-05,72.25
1929-01-06,61.20
1929-01-07,65.45
1929-01-08,85.00
1929-01-09,96.05
1929-01-10,81.60
1929-01-11,45.05
1929-01-12,56.10
1929-01-13,107.10
1929-01-14,74.80
1929-01-15,101.15
1929-01-16,67.15
1929-01-17,83.30
1929-01-20,55.25
1929-01-23,79.90
1929-01-24,73.10
1929-01-25,57.80
1929-01-26,53.55
1929-01-27,59.50
1929-01-29,36.55
1929-01-30,24.65
1929-01-31,25.50
1929-02-01,36.55
1929-02-02,26.35
1929-02-03,39.95
1929-02-04,33.15
1929-02-05,44.20
1929-02-08,77.35
1929-02-09,94.35
1929-02-10,95.20
1929-02-12,92.65
1929-02-13,67.15
1929-02-14,74.80
1929-02-15,79.05
1929-02-16,46.75
1929-02-17,45.90
1929-02-19,34.85
1929-02-20,55.25
1929-02-21,53.55
1929-02-22,62.90
1929-02-23,69.70
1929-02-24,68.00
1929-02-25,52.70
1929-02-26,48.45
1929-02-27,62.90
1929-03-01,62.90
1929-03-03,47.60
1929-03-04,50.15
1929-03-06,62.05
1929-03-07,45.05
1929-03-08,68.00
1929-03-09,61.20
1929-03-10,71.40
1929-03-11,70.55
1929-03-12,102.85
1929-03-13,105.40
1929-03-14,71.40
1929-03-15,55.25
1929-03-16,49.30
1929-03-17,61.20
1929-03-18,28.05
1929-03-19,17.00
1929-03-20,11.05
1929-03-21,13.60
1929-03-22,13.60
1929-03-23,22.95
1929-03-24,28.05
1929-03-28,14.45
1929-03-30,28.90
1929-04-03,39.10
1929-04-04,38.25
1929-04-05,52.70
1929-04-06,34.85
1929-04-10,69.70
1929-04-13,56.95
1929-04-14,64.60
1929-04-15,64.60
1929-04-16,67.15
1929-04-17,63.75
1929-04-21,65.45
1929-04-22,51.85
1929-04-23,54.40
1929-04-24,45.90
1929-04-25,53.55
1929-04-26,50.15
1929-04-27,59.50
1929-04-28,70.55
1929-04-29,70.55
1929-05-02,77.35
1929-05-05,96.05
1929-05-06,68.85
1929-05-11,70.55
1929-05-14,66.30
1929-05-17,62.05
1929-05-20,63.75
1929-05-22,39.10
1929-05-24,55.25
1929-05-25,72.25
1929-05-26,83.30
1929-05-29,47.60
1929-06-02,51.85
1929-06-03,40.80
1929-06-04,55.25
1929-06-05,62.05
1929-06-06,56.95
1929-06-09,55.25
1929-06-10,89.25
1929-06-11,82.45
1929-06-17,80.75
1929-06-19,96.05
1929-06-20,82.45
1929-06-22,126.65
1929-06-25,90.95
1929-06-26,90.10
1929-06-27,81.60
1929-06-28,72.25
1929-06-29,107.10
1929-06-30,102.85
1929-07-02,122.40
1929-07-08,110.50
1929-07-11,95.20
1929-07-12,76.50
1929-07-13,79.05
1929-07-14,91.80
1929-07-15,85.00
1929-07-16,121.55
1929-07-17,93.50
1929-07-18,83.30
1929-07-19,75.65
1929-07-22,136.00
1929-07-23,119.00
1929-07-24,110.50
1929-07-26,79.90
1929-07-27,70.55
1929-07-28,68.00
1929-07-29,59.50
1929-07-30,52.70
1929-07-31,104.55
1929-08-01,85.00
